plntname,imreflink,imcluster,ra_str,ra,dec_str,dec,glon,glat,imdelthmag,imangsep,imsep,imtruesep,impa,imdist,imtelescope,iminstrument,imdateobs,immass,impltemp,implradius,imlum,imstype,imhmag,imkmag,image,immodel,imnotes
51 Eri b,Macintosh et al. 2015,bet Pic,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,198.61262,-30.6576124,14.43,0.449,13.2,82.25,175.9,29.4,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",1.75,675.0,1.0,7.1,F0 IV,4.77,4.54,20.0,"Hot-start, Macintosh et al. (2015)","Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
HIP 65426 b,Chauvin et al. 2017,LCC,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,308.17875,11.0291842,11.14,0.83,92.5,82.25,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",1.96,1500.0,1.5,17.3,A2V,6.85,6.77,14.0,"COND03, Baraffe et al. (2003)",Unknown
USco CTIO 108 b,Bejar et al. 2008,Sco OB2/Upper Scorpius (US),16:05:54.07,241.47532,-18:18:44.4,-18.312332,354.46977,24.5388974,2.91,4.6,670.0,82.25,175.9,145.0,TNG,NICS,2007-07-16,0.06,2350.0,1.2,4.9,M7,12.84,12.51,6.0,"Baraffe et al. (2003), Burrows et al. (1997)",Unknown
2MASS J01225093-2439505 b,Bowler et al. 2013,AB Doradus,01:22:50.94,20.712243,-24:39:50.7,-24.664049,195.44877,-82.5201654,6.18,1.45,52.0,82.25,216.6,36.0,Keck:II,NIRC2,2013-01-18,0.4,1206.0,1.2,4.9,M3.5V,9.47,9.17,120.0,"Burrows et al. (2001), Spiegel et al. (2011)","The H-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
2MASS J22362452+4751425 b,Bowler et al. 2017,AB Doradus,22:36:24.53,339.102203,+47:51:42.5,47.8618202,100.74829,-9.1089056,9.8,3.696,97.6,82.25,135.3,63.0,Keck:II,NIRC2,2016-06-27,0.6,1206.0,1.2,4.9,K7,9.39,9.15,120.0,"Baraffe et al. (2003), Chabrier et al. (2000)","Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
Ross 458 c,Burgasser et al. 2010,Unknown,13:00:41.94,195.194092,+12:21:14.7,12.3757238,311.82538,75.085959,7.44,102.0,1100.0,82.25,175.9,11.7,Magellan:Baade,FIRE,2010-04-03,0.86,760.0,0.125,4.9,M7.5 Ve,9.43,8.665,475.0,"cloudless, Saumon and Marley (2008)","Spectra were obtained, not broadband images."
kap And b,Carson et al. 2013,Columba,23:40:24.51,355.102112,+44:20:02.2,44.333931,109.76586,-16.7143327,10.64,1.058,55.0,82.25,56.0,52.0,Subaru,HiCIAO,"2012-07-08, 2012-07-09",2.45,1680.0,1.2,4.9,B9 IV,4.6,4.6,30.0,Chabrier et al. (2000),Unknown
GSC 06214-00210 b,Ireland et al. 2011,Sco OB2/Upper Scorpius (US),16:21:54.67,245.47778,-20:43:09.13,-20.719202,355.26196,20.1247378,6.21,2.206,147.0,82.25,175.9,145.0,Keck II,NIRC2,2010-04-26,0.6,1206.0,1.2,4.9,M1,9.43,9.15,5.0,"DUSTY, Chabrier et al. (2000)",Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.
HIP 79098 AB b,Janson et al. 2019,Sco OB2/Upper Scorpius (US),16:08:43.72,242.182175,-23:41:07.5,-23.6854153,350.73403,20.3683332,7.44,2.37,346.7,82.25,116.5,146.3,VLT:Yepun,NACO,2004-06-09,3.75,2450.0,1.2,4.9,B9,9.43,8.665,10.0,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",Unknown
SR 12 AB c,Kuzuhara et al. 2011,rho Ophiuchi,23:40:24.51,246.8313,+44:20:02.2,-24.694553,352.97994,16.5649924,7.44,8.659,1100.0,82.25,175.9,125.0,Subaru,IRCS,2005-06-13,0.86,1206.0,1.2,4.9,Unknown,9.43,8.665,2.0,This work.,Unknown
1RXS J160929.1-210524 b,Lafreniere et al. 2008,Sco OB2/Upper Scorpius (US),16:09:30.31,242.376268,-21:04:58.9,-21.083036,352.89056,22.0304266,7.44,2.219,330.0,82.25,27.7,150.0,Gemini:Gillett,NIRI,2008-04-27,0.85,1800.0,0.171,4.9,K7 V,9.43,8.92,5.0,Chabrier et al. (2000),Unknown
HN Peg b,Luhman et al. 2007,Unknown,21:44:31.33,326.130554,+14:46:19.0,14.7719393,69.85936,-28.2692843,7.44,43.2,795.0,82.25,254.4,18.4,IRTF,SpeX,2006-07-02,0.86,1130.0,1.07,4.9,GOV,9.43,8.665,300.0,Burrows et al. (1997) and Baraffe et al. (2003),Unknown
HD 203030 b,Metchev et al. 2006,Unknown,21:18:58.97,319.742584,+26:13:46.1,26.230545,74.61358,-16.1177434,7.44,11.923,487.1,82.25,108.8,40.0,Hale,PHARO,2002-08-28,0.86,1206.0,1.06,4.9,G8V,9.43,6.65,265.0,Burrows et al. (1997),The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.
GQ Lup b,Neuhauser et al. 2005,Lupus,15:49:12.10,237.300427,-35:39:05.1,-35.651421,338.92535,14.5108803,7.44,0.733,97.6,82.25,175.9,140.0,VLT:Yepun,NACO,2004-06-25,0.86,1206.0,1.2,4.9,K7eV,9.43,7.1,1.0,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",Unknown
HD 100546 b,Quanz et al. 2015,Unknown,11:33:25.44,173.356003,-70:11:41.2,-70.1947861,296.36728,-8.323635,7.44,0.457,53.0,82.25,8.4,97.0,VLT:Yepun,NACO,2013-04-18,2.4,932.0,6.9,32.0,Unknown,9.43,5.83,5.0,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",Unknown
2MASS J04414489+2301513 b,Todorov et al. 2010,Taurus,04:41:44.90,70.437073,+23:01:51.4,23.030941,176.51059,-15.1142495,1.68,0.105,97.6,82.25,120.4,140.0,Gemini:Gillett,NIRI,2009-10-13,0.02,1206.0,1.2,4.9,M8.5,13.94,13.4,1.0,"Chabrier et al. (2000), Burrows et al. (1997)",Unknown
Fomalhaut b,Kalas et al. 2008,Unknown,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,20.48802,-64.9095697,7.44,12.7,97.6,130.0,175.9,7.7,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",0.86,1206.0,1.2,4.9,A3V,9.43,8.665,200.0,Kalas et al. (2008),Fomalhaut b has a published refutation. See refuted targets.
ROXs 42 B b,Currie et al. 2014,rho Ophiuchi,16:31:15.02,247.812567,-24:32:43.7,-24.545471,353.70707,15.9898273,6.86,1.169,150.0,82.25,269.6,135.0,Keck:II,NIRC2,2011-06-22,0.86,2200.0,1.2,4.9,M0,9.02,8.67,2.0,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",Unknown
ROXs 12 b,Kraus et al. 2014,Sco OB2/Upper Scorpius (US),16:26:27.76,246.615609,-25:27:24.7,-25.456865,352.24976,352.24976,5.44,1.781,210.0,82.25,9.1,120.0,Keck:II,NIRC2,Unknown,0.87,1206.0,1.2,4.9,M0,9.93,9.26,8.0,Kraus et al. 2014,"imangsep and impa are the average across J, H, K and L bands. The date of observations is not included."
PDS 70 b,Keppler et al. 2018,Sco OB2/Upper Centaurus-Lupus (UCL),14:08:10.16,212.042333,-41:23:52.58,-41.3979389,318.0621,19.2085494,9.12,0.195,22.0,82.25,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",0.76,1200.0,1.2,0.3,K7,8.82,8.54,5.0,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)","Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
PDS 70 c,Haffert et al. 2019,Sco OB2/Upper Centaurus-Lupus (UCL),14:08:10.16,212.042333,-41:23:52.58,-41.3979389,318.0621,19.2085494,7.7,0.277,27.2,34.5,277.0,113.4,"VLT:Melipal, VLT:Antu, VLT:Yepun","SPHERE/IRDIS, NACO, MUSE","2016-05-14, 2016-06-01, 2016-06-20",0.86,1206.0,1.2,4.9,Unknown,9.43,8.665,5.0,Allard et al. (2001),Delta H mag is H-alpha and delta K mag is K1.
Oph 11 b,Close et al. 2007,Sco OB2/Upper Scorpius (US),16:22:25.21,245.605058,-24:05:13.9,-24.087208,352.67858,17.8032159,0.69,1.943,242.9,82.25,176.2,125.0,Gemini:Gillett,NIRI,2006-07-01,0.86,2175.0,1.2,4.9,Unknown,14.19,13.92,18.5,"DUSTY, Chabrier et al. 2000","The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band."
HR 8799 b,Marois et al. 2008,Unknown,23:07:28.72,346.869659,+21:08:03.3,21.1342506,92.76421,-35.5750779,12.57,1.73,68.2,82.25,175.9,39.4,Keck:II,NIRC2,"2004-07-14, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",1.5,870.0,1.2,4.9,A5V,5.28,5.24,60.0,Baraffe et al. (2003),Unknown
HR 8799 c,Marois et al. 2008,Unknown,23:07:28.72,346.869659,+21:08:03.3,21.1342506,92.76421,-35.5750779,11.63,0.95,37.4,82.25,175.9,39.4,Keck:II,NIRC2,"2004-07-14, 2007-10-17, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",1.5,1090.0,1.2,4.9,A5V,5.28,5.24,60.0,Baraffe et al. (2003),Unknown
HR 8799 d,Marois et al. 2008,Unknown,23:07:28.72,346.869659,+21:08:03.3,21.1342506,92.76421,-35.5750779,11.56,0.63,24.8,82.25,175.9,39.4,Keck:II,NIRC2,"2007-10-17, 2008-07-11, 2008-08-12, 2008-09-18",1.5,1090.0,1.2,4.9,A5V,5.28,5.24,60.0,Unknown,Unknown
HR 8799 e,Marois et al. 2010,Unknown,23:07:28.72,346.869659,+21:08:03.3,21.1342506,92.76421,-35.5750779,7.44,1.7555,14.5,82.25,242.0,39.4,Keck:II,NIRC2,2009-11-01,1.5,1206.0,1.2,4.9,A5V,9.43,5.24,60.0,Unknown,Delta K mag and planet K mag is Ks.
HR 2562 b,Konopacky et al. 2016,Unknown,06:50:01.02,102.504227,-60:14:56.9,-60.2491455,270.17577,-23.4917962,11.7,0.619,20.3,82.25,297.6,33.6,Gemini:South,GPI,2016-01-25,1.3,1200.0,1.11,4.9,F5V,9.43,8.665,600.0,Saumon & Marley (2008),Unknown
HIP 78530 b,Lafreniere et al. 2011,Sco OB2/Upper Scorpius (US),16:01:55.46,240.481064,-21:58:49.4,-21.9803886,350.87063,22.6810591,7.44,4.533,710.0,82.25,140.3,156.7,Gemini:Gillett,NIRI,2009-07-02,2.5,1206.0,1.2,4.9,B9V,6.95,6.9,5.0,Chabrier et al. 2000,Unknown
HD 95086 b,Rameau et al. 2013,Sco OB2/Lower Centaurus-Crux (LCC),10:57:03.02,164.262589,-68:40:02.4,-68.6673431,292.80292,-8.075282,7.44,0.624,56.4,82.25,151.8,90.4,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",1.6,1000.0,1.2,4.9,A8 III,9.43,6.79,17.0,"COND, Baraffe et al. (2003)",Unknown
HD 106906 b,Bailey et al. 2014,Sco OB2/Lower Centaurus-Crux (LCC),12:17:53.19,184.471634,-55:58:31.9,-55.9755249,298.21888,6.5889667,7.44,7.11,654.1,82.25,307.3,92.0,Magellan:Clay,MagAO/Clio2,2013-04-04 2013-04-12,1.5,1800.0,1.2,4.9,F5V,6.68,6.68,13.0,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",The imhmag is in H2-band.
GJ 504 b,Kuzuhara et al. 2013,Unknown,13:16:46.52,199.193817,+09:25:27.0,9.42415619,322.79015,71.3123997,16.28,2.499,43.9,82.25,326.1,17.6,Subaru,"IRCS, HiCIAO","2011-03-26, 2011-05-22, 2011-08-12, 2011-08-15, 2012-02-28, 2012-04-12, 2012-05-25",1.22,510.0,1.2,0.3,G0V,3.86,3.81,160.0,"COND, Baraffe et al. 2003",Unknown
2MASS J12073346-3932539 b,Chauvin et al. 2004,Unknown,12:07:33.47,181.889447,-39:32:54.0,-39.548332,293.79036,22.5432974,5.7,0.778,55.0,82.25,125.8,70.0,VLT:Yepun,NACO,2004-04-27,0.86,1250.0,1.2,4.9,M8.5,12.39,11.95,8.0,"DUSTY, Chabrier et al. (2000), COND, Baraffe et al. (2002)",Unknown
2MASS J21402931+1625183 A b,Konopacky et al. 2010,Unknown,21:40:29.32,325.122159,16:25:18.3,16.421759,70.4851,-26.437255,0.93,1.7555,97.6,82.25,175.9,25.0,Unknown,Unknown,Unknown,0.06,2075.0,0.92,0.0,Unknown,12.66,12.27,18.5,"DUSTY, Chabrier et al. 2000",Unknown
AB Pic b,Chauvin et al. 2005,Tucana-Horologium,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,266.94371,-26.9307986,8.18,1.7555,97.6,82.25,175.9,47.3,VLT:Yepun,NACO,"2003-03-17, 2004-03-05, 2004-09-25",0.86,1513.0,1.2,4.9,Unknown,7.09,6.98,30.0,Burrows et al (1997),Unknown
bet Pic b,Lagrange et al. 2009,bet Pic,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,258.36388,-30.6116321,7.7,0.411,7.9,82.25,175.9,19.2,VLT:Yepun,NACO,2003-11-10,1.8,1400.0,1.2,4.9,A5V,9.43,8.665,12.0,"DUSTY, Chabrier et al. (2000)",Unknown
CFBDSIR J145829+101343 b,Liu et al. 2011,Unknown,14:58:29.00,224.620833,+10:13:43.0,10.2286111,9.59419,55.6550909,2.33,0.108,2.6,82.25,308.0,23.1,Keck:II,NIRC2,2010-07-08,0.01,350.0,1.2,0.0,T9.5,20.18,20.63,1000.0,"TUCSON, Burrows et al. 1997",Model does not correspond with date observed. Model does correspond with the stellar age.
CHXR 73 b,Luhman et al. 2006,Chamaeleon I,11:06:28.77,166.619893,-77:37:33.2,-77.625877,297.27772,-15.9216421,5.2,1.3,210.0,82.25,234.9,161.5,Magellan:Clay,PANIC,2005-04-30,0.35,1206.0,1.2,4.9,M3.5,11.3,10.8,2.0,"Chabrier et al. (2000), Burrows et al. (1997)",Unknown
CT Cha b,Schmidt et al. 2008,Chamaeleon I,11:04:09.09,166.037877,-76:27:19.4,-76.455383,296.6537,-14.9091413,7.44,2.67,440.0,82.25,300.7,165.0,VLT:Yepun,NACO,2006-02-17,0.7,2600.0,2.2,4.9,K7,9.43,8.66,2.0,"DUSTY-Phoenix, Brott & Hauschild 2005, UCM, Tsuji 2005","multiple mass estimates are listed in paper, but the author commits to the value given."
DH Tau b,Patience et al. 2012,Taurus,04:29:41.56,67.423158,+26:32:58.3,26.54952,171.89951,-14.9387211,6.14,2.3,330.0,82.25,175.9,140.0,VLT:Melipal,SINFONI,"2007-10-22, 2007-12-18",0.33,2700.0,0.27,4.9,M0.5,8.82,8.18,2.0,"Allard et al. (2000), Itoh et al. (2005)",Unknown
FU Tau b,Luhman et al. 2009,Taurus,04:23:35.74,65.898908,+25:02:59.6,25.049898,172.11559,-16.9607887,7.44,5.72,800.8,82.25,123.2,140.0,UKIRT,Unknown,2005-12-31,0.86,2375.0,1.2,4.9,Unknown,9.43,8.665,18.5,Luhman et al. (2003),Unknown
GU Psc b,Naud et al. 2014,AB Doradus,01:12:35.05,18.146006,+17:03:55.6,17.065475,130.15233,-45.509583,8.1,41.97,2000.0,82.25,175.9,48.0,CFHT,WIRCam,"2011-10-10, 2011-12-26, 2011-12-28, 2011-12,29, 2012-09-07",0.86,1050.0,1.355,4.9,M3,9.6,9.35,100.0,"cloudy, Saumon and Marley (2008)",Unknown
VHS J125601.92-125723.9 b,Gauza et al. 2015,Unknown,12:56:02.15,194.008964,-12:57:21.7,-12.956031,304.67118,49.9002002,7.44,8.06,102.0,82.25,218.1,12.7,ESO:VISTA,VIRCAM,2011-07-01,0.07,880.0,1.2,4.9,M7.5,11.02,10.42,225.0,"this work, Gagne et al. (2014), Chauvin et al. (2005), McLean et al. (2003), Liu et al. (2013)",Unknown
WD 0806-661 b,Luhman et al. 2011,Unknown,08:06:53.75,121.723902,-66:18:16.7,-66.3046498,279.42255,-17.5715768,7.44,130.2,97.6,82.25,104.2,19.2,Spitzer,IRAC,"2004-12-15, 2009-08-24",0.62,300.0,1.2,4.9,DQ,9.43,8.665,1500.0,"Burrows et al. (1997), Burrows et al. (2003)",Spitzer data were collected in 4.5 microns.
WISEP J121756.91+162640.2 A b,Liu et al. 2012,Unknown,12:17:56.91,184.487125,+16:26:40.2,16.4445,265.23847,76.7973725,2.2,0.757,8.0,82.25,175.9,10.5,Keck:II,NIRC2,2012-01-29,0.03,470.0,1.2,4.9,T9,18.31,18.94,5000.0,Lyon/COND models and M(J),"Different angular separations and position angles are listed for each filter, for data obtained on the same night. The H-band separation and position angles are shown here."
LkCa 15 b,Sallum et al. 2015,Unknown,04:39:17.79,69.824148,+22:21:03.4,22.350967,176.6897,-15.9816355,7.44,0.106,14.7,82.25,260.0,,LBT,NRM,2014-12-15,0.86,1206.0,1.2,4.9,Unknown,9.43,8.665,18.5,Unknown,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
LkCa 15 c,Sallum et al. 2015,Unknown,04:39:17.79,69.824148,+22:21:03.4,22.350967,176.6897,-15.9816355,7.44,0.068,18.6,82.25,316.0,,LBT,NRM,"2015-02-05, 2015-02-06, 2015-02-07",0.86,1206.0,1.2,4.9,Unknown,9.43,8.665,18.5,Unknown,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
2MASS J02192210-3925225 b,Artigau et al. 2015,Tucana-Horologium,02:19:22.11,34.842106,-39:25:22.5,-39.422928,252.45377,-67.9844531,3.77,3.96,156.0,82.25,173.9,39.4,CTIO:1.5m,SIMON,2013-11-05,0.36,1206.0,1.2,0.0,M6,10.86,10.44,120.0,"BT-Settl, Allard et al. 2014",Unknown
TYC 8998-760-1 b,Bohn et al. 2020,Sco OB2/Lower Centaurus-Crux (LCC),13:25:12.13,201.300542,-64:56:20.69,-64.9390806,306.4997,-2.3014173,7.44,1.71,162.0,82.25,175.9,94.6,"VLT:Antu, VLT:Melipal","NACO, SPHERE","2017-07-05, 2019-03-17, 2019-03-23, 2019-05-18",1.0,1727.0,3.0,0.5,K3 IV,9.43,8.665,17.0,"BT-Settl (Allard et al. 2012), AMES/DUSTY (Allard et al. 2001; Chabrier et al. 2000)","Projected separation star-planet and position angle star-planet are the average across the J, H, Ks, and L' band"
2MASS J01033563-5515561 AB b,Delorme et al. 2013,Tucana-Horologium,01:03:35.63,15.8984583,-55:15:56.1,-55.2655833,299.26975,-61.7760661,7.44,1.784,84.0,82.25,339.3,47.2,VLT:Antu,NACO,2012-11-25,0.19,1206.0,1.2,4.9,M5.5/M6,10.15,9.81,30.0,BT-Settl (Allard et al. 2012; Baraffe et al. 2003),Companion magnitude measurements derived relative to 2MASS0103A; Ks filter used
